"","lhs","op","rhs","block","group","est","se","z","pvalue","ci.lower","ci.upper"
"27","IQ","=~","dot_matrix_n_correct_Norm",2,2,0.291400235353488,0.117056456213961,2.48939908808494,0.0127959238308142,0.0619737970162358,0.520826673690741
"28","IQ","=~","cancellation_marked_intertime_Norm",2,2,-0.489580643492423,0.150861880674147,-3.24522431580903,0.0011735813765299,-0.78526449625373,-0.193896790731115
"29","IQ","=~","ans_IRT_ScoreNorm",2,2,0.373006263301706,0.126375077913154,2.95158087703051,0.00316151739120363,0.125315662048481,0.620696864554931
"30","IQ","=~","cattell_IRT_ScoreNorm",2,2,0.396923463280545,0.145722691378634,2.72382742540221,0.0064530215677614,0.111312236448177,0.682534690112912
"31","reading_n_total_Norm","~~","reading_n_total_Norm",2,2,0.431870666108229,0.146254499166718,2.9528709787993,0.00314833520217461,0.145217115164518,0.718524217051941
"32","sums_n_total_Norm","~~","sums_n_total_Norm",2,2,0.316346070578486,0.087558584511064,3.61296464926876,0.000302715987143154,0.144734398399494,0.487957742757478
"33","digit_span_n_correct_Norm","~~","digit_span_n_correct_Norm",2,2,0.755239356211552,0.115273630829035,6.55170962153228,5.6882054622065e-11,0.529307191419476,0.981171521003627
"34","dot_matrix_n_correct_Norm","~~","dot_matrix_n_correct_Norm",2,2,0.612315637297677,0.0936877936000036,6.53570346540484,6.33113561576693e-11,0.428690936050648,0.795940338544706
"35","cancellation_marked_intertime_Norm","~~","cancellation_marked_intertime_Norm",2,2,0.98080045554551,0.151030928791793,6.49403710479471,8.35660429743257e-11,0.684785274561963,1.27681563652906
"36","ans_IRT_ScoreNorm","~~","ans_IRT_ScoreNorm",2,2,0.573258800147938,0.102037101284608,5.61814078340948,1.93023197425646e-08,0.373269756543241,0.773247843752634
"37","cattell_IRT_ScoreNorm","~~","cattell_IRT_ScoreNorm",2,2,0.920721493122009,0.16171017249617,5.69365228488528,1.24350203467571e-08,0.603775379095757,1.23766760714826
"38","IQ","~~","IQ",2,2,0.827215632677592,0.214197867053146,3.8619228289157,0.000112498104998915,0.407395527688128,1.24703573766706
"39","reading_n_total_Norm","~1","",2,2,0.127551680403312,0.112774303029044,1.13103496964608,0.258040373173194,-0.0934818919152205,0.348585252721845
"40","sums_n_total_Norm","~1","",2,2,-0.0547359633460285,0.0873576146024394,-0.62657346580638,0.530938866017773,-0.22595374174214,0.116481815050083
"41","digit_span_n_correct_Norm","~1","",2,2,0.205686685393379,0.0950292811181122,2.16445587058299,0.0304293798999495,0.0194327169251474,0.391940653861611
"42","dot_matrix_n_correct_Norm","~1","",2,2,0.103441404939807,0.0862889701862587,1.19877899477214,0.23061389227543,-0.0656818688883107,0.272564678767924
"43","cancellation_marked_intertime_Norm","~1","",2,2,-0.0411198975573798,0.109132257554392,-0.376789580632339,0.706329984505174,-0.255015191915538,0.172775396800778
"44","ans_IRT_ScoreNorm","~1","",2,2,-0.0377715664372182,0.0989705638327962,-0.381644450374463,0.702725108749005,-0.231750307079121,0.156207174204685
"45","cattell_IRT_ScoreNorm","~1","",2,2,0.423786867436903,0.120972859915194,3.50315655704918,0.000459779143437533,0.186684418896314,0.660889315977492
"46","IQ","~1","",2,2,0,0,NA,NA,0,0
